country,confirmed,death,recovered,active,population
Saint Kitts and Nevis,19,0,19,0,52823
Saint Lucia,84,0,28,56,182790
Saint Vincent and the Grenadines,75,0,71,4,110589
San Marino,928,42,721,165,33860
Sao Tome and Principe,949,16,904,29,215056
Saudi Arabia,348037,5437,334672,7928,34268528
Senegal,15637,325,15059,253,16296364
Serbia,49205,833,0,48372,6944975
Seychelles,153,0,149,4,97625
Sierra Leone,2366,74,1802,490,7813215
Singapore,58020,28,57924,68,5703569
Slovakia,61829,219,13012,48598,5454073
Slovenia,36206,388,13297,22521,2087946
Solomon Islands,13,0,4,9,669823
Somalia,3941,104,3185,652,15442905
South Africa,727595,19465,657500,50630,58558270
South Sudan,2926,59,1290,1577,11062113
Spain,1240697,36257,150376,1054064,47076781
Sri Lanka,11335,21,5249,6065,21803000
Sudan,13866,837,6764,6265,42813238
Suriname,5212,111,5082,19,581372
Sweden,124355,5938,0,118417,10285453
Switzerland,176177,2404,80400,93373,8574832
Syria,5843,295,2061,3487,17070135
Tajikistan,11096,82,10337,677,9321018
Tanzania,509,21,183,305,58005463
Thailand,3797,59,3605,133,69625582
Timor-Leste,30,0,29,1,1293119
Togo,2364,57,1681,626,8082366
Trinidad and Tobago,5704,109,4887,708,1394973
Tunisia,61906,1381,5032,55493,11694719
Turkey,379775,10402,327007,42366,83429615
Uganda,12971,114,7556,5301,44269594
Ukraine,414567,7584,170880,236103,44385155
United Arab Emirates,135141,497,132024,2620,9770529
United Kingdom,1057021,46943,2850,1007228,66834405
Uruguay,3165,60,2658,447,3461734
US,9320266,231713,3674981,NA,328239523
Uzbekistan,67254,571,64466,2217,33580650
Venezuela,92705,806,87547,4352,28515829
Vietnam,1192,35,1065,92,96462106
West Bank and Gaza,54775,493,47169,7113,4685306
Yemen,2063,601,1375,87,29161922
Zambia,16543,349,15733,461,17861030
Zimbabwe,8389,245,7939,205,14645468
